Pincode,AreaName,Sarvice Type,Transit Time,Rate group
610051,TAMIL NADU,ODA,6-9 Days,1
610101,TAMIL NADU,ODA,6-9 Days,1
610102,TAMIL NADU,ODA,6-9 Days,1
610103,TAMIL NADU,ODA,6-9 Days,1
610104,TAMIL NADU,ODA,6-9 Days,1
610105,TAMIL NADU,ODA,6-9 Days,1
610106,TAMIL NADU,ODA,6-9 Days,1
610107,TAMIL NADU,ODA,6-9 Days,1
610109,TAMIL NADU,ODA,6-9 Days,1
610110,TAMIL NADU,ODA,6-9 Days,1
610113,TAMIL NADU,ODA,6-9 Days,1
610114,TAMIL NADU,ODA,6-9 Days,1
610201,TAMIL NADU,ODA,6-9 Days,1
610202,TAMIL NADU,ODA,6-9 Days,1
610203,TAMIL NADU,ODA,6-9 Days,1
610204,TAMIL NADU,ODA,6-9 Days,1
610205,TAMIL NADU,ODA,6-9 Days,1
610206,TAMIL NADU,ODA,6-9 Days,1
610207,TAMIL NADU,ODA,6-9 Days,1
610211,TAMIL NADU,ODA,6-9 Days,1
610212,TAMIL NADU,ODA,6-9 Days,1
611001,TRICHY,ODA,6-9 Days,1
611002,TRICHY,ODA,6-9 Days,1
611101,TAMIL NADU,ODA,6-9 Days,1
611102,TAMIL NADU,ODA,6-9 Days,1
611103,TAMIL NADU,ODA,6-9 Days,1
611104,TAMIL NADU,ODA,6-9 Days,1
611105,TAMIL NADU,ODA,6-9 Days,1
611106,TAMIL NADU,ODA,6-9 Days,1
611108,TAMIL NADU,ODA,6-9 Days,1
611109,TAMIL NADU,ODA,6-9 Days,1
611110,TAMIL NADU,ODA,6-9 Days,1
611111,TAMIL NADU,ODA,6-9 Days,1
611112,TAMIL NADU,ODA,6-9 Days,1
611113,TAMIL NADU,ODA,6-9 Days,1
611117,TAMIL NADU,ODA,6-9 Days,1
612001,TAMIL NADU,ODA,6-9 Days,1
612002,TAMIL NADU,ODA,6-9 Days,1
612101,TAMIL NADU,ODA,6-9 Days,1
612103,TAMIL NADU,ODA,6-9 Days,1
612104,TAMIL NADU,ODA,6-9 Days,1
612105,TAMIL NADU,ODA,6-9 Days,1
612106,TAMIL NADU,ODA,6-9 Days,1
612107,TAMIL NADU,ODA,6-9 Days,1
612108,TAMIL NADU,ODA,6-9 Days,1
612201,TAMIL NADU,ODA,6-9 Days,1
612202,TAMIL NADU,ODA,6-9 Days,1
612203,TAMIL NADU,ODA,6-9 Days,1
612204,TAMIL NADU,ODA,6-9 Days,1
612205,TAMIL NADU,ODA,6-9 Days,1
612206,TAMIL NADU,ODA,6-9 Days,1
612301,TAMIL NADU,ODA,6-9 Days,1
612302,TAMIL NADU,ODA,6-9 Days,1
612303,TAMIL NADU,ODA,6-9 Days,1
612401,TAMIL NADU,NORMAL,6-8 Days,1
612402,TAMIL NADU,ODA,6-9 Days,1
612501,TAMIL NADU,ODA,6-9 Days,1
612502,TAMIL NADU,ODA,6-9 Days,1
612503,TAMIL NADU,ODA,6-9 Days,1
612504,TAMIL NADU,ODA,6-9 Days,1
612601,TAMIL NADU,ODA,6-9 Days,1
612602,TAMIL NADU,ODA,6-9 Days,1
612603,TAMIL NADU,ODA,6-9 Days,1
612604,TAMIL NADU,ODA,6-9 Days,1
612605,TAMIL NADU,ODA,6-9 Days,1
612701,TAMIL NADU,ODA,6-9 Days,1
612702,TAMIL NADU,ODA,6-9 Days,1
612703,TAMIL NADU,ODA,6-9 Days,1
612704,TAMIL NADU,ODA,6-9 Days,1
612801,TAMIL NADU,ODA,6-9 Days,1
612802,TAMIL NADU,ODA,6-9 Days,1
612803,TAMIL NADU,ODA,6-9 Days,1
612804,TAMIL NADU,ODA,6-9 Days,1
612807,TAMIL NADU,ODA,6-9 Days,1
612901,TAMIL NADU,ODA,6-9 Days,1
612902,TAMIL NADU,ODA,6-9 Days,1
612903,TAMIL NADU,ODA,6-9 Days,1
612904,TAMIL NADU,ODA,6-9 Days,1
613001,TAMIL NADU,ODA,6-9 Days,1
613002,TAMIL NADU,ODA,6-9 Days,1
613003,TAMIL NADU,ODA,6-9 Days,1
613004,TAMIL NADU,ODA,6-9 Days,1
613005,TAMIL NADU,ODA,6-9 Days,1
613006,TAMIL NADU,ODA,6-9 Days,1
613007,TAMIL NADU,ODA,6-9 Days,1
613008,TAMIL NADU,ODA,6-9 Days,1
613009,TAMIL NADU,ODA,6-9 Days,1
