Pincode,AreaName,Sarvice Type,Transit Time,Rate group
110001,DELHI,NORMAL,1-2 Days,1
110002,DELHI,NORMAL,1-2 Days,1
110003,DELHI,NORMAL,1-2 Days,1
110004,DELHI,NORMAL,1-2 Days,1
110005,DELHI,NORMAL,1-2 Days,1
110006,DELHI,NORMAL,1-2 Days,1
110007,DELHI,NORMAL,1-2 Days,1
110008,DELHI,NORMAL,1-2 Days,1
110009,DELHI,NORMAL,1-2 Days,1
110010,DELHI,NORMAL,1-2 Days,1
110011,DELHI,NORMAL,1-2 Days,1
110012,DELHI,NORMAL,1-2 Days,1
110013,DELHI,NORMAL,1-2 Days,1
110014,DELHI,NORMAL,1-2 Days,1
110015,DELHI,NORMAL,1-2 Days,1
110016,DELHI,NORMAL,1-2 Days,1
110017,DELHI,NORMAL,1-2 Days,1
110018,DELHI,NORMAL,1-2 Days,1
110019,DELHI,NORMAL,1-2 Days,1
110020,DELHI,NORMAL,1-2 Days,1
110021,DELHI,NORMAL,1-2 Days,1
110022,DELHI,NORMAL,1-2 Days,1
110023,DELHI,NORMAL,1-2 Days,1
110024,DELHI,NORMAL,1-2 Days,1
110025,DELHI,NORMAL,1-2 Days,1
110026,DELHI,NORMAL,1-2 Days,1
110027,DELHI,NORMAL,1-2 Days,1
110028,DELHI,NORMAL,1-2 Days,1
110029,DELHI,NORMAL,1-2 Days,1
110030,DELHI,NORMAL,1-2 Days,1
110031,DELHI,NORMAL,1-2 Days,1
110032,DELHI,NORMAL,1-2 Days,1
110033,DELHI,NORMAL,1-2 Days,1
110034,DELHI,NORMAL,1-2 Days,1
110035,DELHI,NORMAL,1-2 Days,1
110036,DELHI,NORMAL,1-2 Days,1
110037,GURGAON,NORMAL,1-2 Days,1
110038,GURGAON,NORMAL,1-2 Days,1
110039,DELHI,NORMAL,1-2 Days,1
110040,DELHI,NORMAL,1-2 Days,1
110041,DELHI,NORMAL,1-2 Days,1
110042,DELHI,NORMAL,1-2 Days,1
110043,DELHI,NORMAL,1-2 Days,1
110044,DELHI,NORMAL,1-2 Days,1
110045,DELHI,NORMAL,1-2 Days,1
110046,DELHI,NORMAL,1-2 Days,1
110047,DELHI,NORMAL,1-2 Days,1
110048,DELHI,NORMAL,1-2 Days,1
110049,DELHI,NORMAL,1-2 Days,1
110051,DELHI,NORMAL,1-2 Days,1
110052,DELHI,NORMAL,1-2 Days,1
110053,DELHI,NORMAL,1-2 Days,1
110054,DELHI,NORMAL,1-2 Days,1
110055,DELHI,NORMAL,1-2 Days,1
110056,DELHI,NORMAL,1-2 Days,1
110057,GURGAON,NORMAL,1-2 Days,1
110058,DELHI,NORMAL,1-2 Days,1
110059,DELHI,NORMAL,1-2 Days,1
110060,DELHI,NORMAL,1-2 Days,1
110061,GURGAON,NORMAL,1-2 Days,1
